ids,times,up,content
6829999554406797577,1628398789,3,是中国的盛世‘不是个人的天下
6830138266725775296,1628431860,2,难以想象如果一百多年前先辈们没有觉醒和斗争，今日的中国会是什么样，或许已没有中国。致敬！
6830035466360595617,1628407351,2,没法说谁对说错我要是张作霖我也得杀了他！
6830965112254122235,1628628995,1,我就是00后，请你们不要搞分化，什么708090的最爱国，这不是说说而已，你们要知道现在大部的军人都只有20多，别的爱不爱国我不知道，但是我做为中国人，只要国家需要，我就愿意为国家做出任何贡献
6812235876705794312,1624163598,3,社会主义的美好生活来之不易，且行且珍惜！
6816645838391491845,1625215015,2,历史没学好有的我感觉真的看不懂，但是就是讲的建党之前的一些事情，还是很好看的
6830183245695315115,1628442584,3,不追所谓的星，只追抛头颅洒热血的星。
6830021853726174272,1628404105,2,生在国旗下，长在春风里，何其荣幸！！
6830348745213625310,1628482042,5,肉体已朽，意志永存！
6830106851887949599,1628424370,2,我追的是光，五角星的光。愿以吾辈之青春，护盛世之中华🇨🇳！
6831174385013779653,1628678890,2,强烈推荐把这种电影加入教育计划，有时候看电影比喊口号来的更深入人心
6830075861379454777,1628416982,2,守常先生您期待的盛世我们替您看了
6829982178617647704,1628394646,4,伟大的革命先烈们
6830036776023640174,1628407663,2,强烈推荐《觉醒年代》和《革命者》。因为他们是有关联的。
6831210232614495797,1628687437,2,伟大的人，做伟大的事情，我们现在很幸福，感谢您，好走
6830110791555763773,1628425310,3,看到了李易峰的名字点进来的
6830101237078174919,1628423032,2,这种力量太强了，水能载舟亦能覆舟。没有一政府能长存
6830014444180099159,1628402339,3,我我来看毛泽东和李大钊！
6830041055660743460,1628408683,3,评分太低了！这分打的不对
6830035246881238998,1628407298,2,革命真的困难重重！尤其是革命先驱们！值得敬仰！
6830085920452915710,1628419380,2,我们新中国的先驱真的很伟大！中国共产党万岁！
6829978120368482881,1628393678,2,伟大的事业常常伴随着壮烈的牺牲守常先生，我们相信，终有一天我们的会迎来赤旗的天下愿以吾血浇吾地，换山河如故🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳
6830398999774506243,1628494024,2,致敬缅怀先烈💪️💪️💪️这盛世如您们所愿
6831207703319039949,1628686834,2,这盛世，如您所愿！！！安息吧，先烈们！！！
6830028890740631013,1628405783,2,很有意义的片子，向伟大的革命者致敬！！！
6816364466641815643,1625147930,2,致敬前辈，祖国繁荣昌盛，生在华夏很荣幸
6830146739991621613,1628433880,0,在血与火中重生，站在黑暗与光明的交汇处
6829986920643033024,1628395776,2,守常兄，望你多休息，中国革命还在等你。
6830058964743223200,1628412953,2,100年前的中国，至暗时刻，也是觉醒年代。
6830035447960317430,1628407346,2,没有共产党，就没有新中国，共产党万岁
6832534886377480554,1629003259,2,缅怀革命先烈，人民英雄永垂不朽！
6830345937642999937,1628481373,3,太伟大了 感动！
6831893467396841877,1628850333,2,零零后最自信！
6831609250939201191,1628782570,3,看到有人评论说是来追星的，追星我并不反对，但我忧心的是：假如说这部电影没有你所追的明星，你就不来追了吗。什么是耀眼的明星？他们是指引我们前进的星光，那些抛头颅洒热血的革命先烈，燃烧自己照亮后人的无数爱国、热爱真理的仁人志士，才是真正的明星！
6829964782347376009,1628390498,1,革命不是呐喊
6829998987672429268,1628398653,2,白忙活了，还是穷的太穷，富的太富，差距越来越大。没钱的埋头苦干，有钱的存在银行，一百年都用不上。
6830041490819916419,1628408787,2,峰峰扮演了中国最帅的男人
6830063626632619791,1628414065,2,致敬！您相信的世界来了！
6817411879640698382,1625397653,2,将来的环球必是赤旗的世界
6831230109580414476,1628692176,1,看了一下评论区，喜忧参半啊。这该死的肉体一直在拖累我的灵魂一碗二十块的面条让我的胃在闹革命我强大的意志轻松镇压明天的砖头依然烫手明天的胃依然要造反明天的明天我会忘记今天的感慨明天依然是明天明天怎么才能是我的明天明天也许是我想象的明天也许没有明天
6830237033684804357,1628455408,2,国家有力量，人民有信仰！我庆幸生在和平安康的中华人民共和国，此生骄傲我是中国人🇨🇳
6815951964934218782,1625049582,2,英特纳雄耐尔，(国际）
6832097759965622624,1628899040,1,我来看丫丫的
6830479004856628598,1628513098,2,如你所愿，守常先生
6831708390104634199,1628806207,2,以前不了解李大钊，现在看了觉得好伟大的一个人啊，很少评论……这部剧例外
6830033708318080627,1628406931,2,革命者，先驱者。
6817610200326317249,1625444936,4,李易峰还挺像的
6830521085436236658,1628523131,2,00后的我真的热泪盈眶。自从看了觉醒年代就爱上了李大钊，从前面对历史书上的知识点只觉得枯燥无比，死记硬背。如今看了这些红色革命影视作品，我才慢慢爱上了历史，爱上了书上的人物们
6830026000361733573,1628405094,2,“以青春之我，创建青春之家庭，青春之国家，青春之民族，青春之人类，青春之地球，青春之宇宙，资以乐其无涯之生。” ——李大钊
6830040727284488497,1628408605,2,追星往别处去
6830002885309122873,1628399583,2,支持革命者 支持李易峰！真的绝绝子
6830060789122869844,1628413388,1,特别特别特别好看，哭死我了，那些说看不明白的人，你们能看明白什么？但凡懂点历史就能懂
6832160200820933403,1628913927,4,我因为李易峰关注这部电影，李易峰能参演这部电影饰演革命伟人是他的荣幸，在观影过程中我为先烈的牺牲感到悲痛，为中国🇨🇳有一个又一个敢于反抗压迫的人民感到骄傲自豪，更加坚定中国共产党的领导，试看将来环球必是赤旗的天下
6830049030282686113,1628410584,2,我从黑暗中反叛而来，却不属于未来光明之地
6814068955532165600,1624600638,4,我还哭了几点眼泪
6831578488265131354,1628775236,2,2021.08.12 愿所有的中国人都能正气长存！
6830069397797628677,1628415440,4,我不敢想象，在那个时代，一群人为了全民众的幸福而战，一个信仰而战，即使不知道前方的路是否一片光芒，依然拼死血战，向着远方大喊革命必胜。他们无疑是伟大的，更是超乎常人勇敢。正是因为他们不懈的付出，谱写了祖国今日的辉煌.我们要铭记血的历史，珍惜现在的生活，朝着远方不懈努力，让祖国更加富强.
6833009745901540397,1629116474,2,感谢革命先烈的忘我奉献牺牲精神，才得以如今的和平盛世。向先烈致敬，永远缅怀先烈！！！
