,用户名称,用户性别,用户id,vip等级,用户评论,评论点赞次数,评论时间
0,坚壁清野以挫敌锐,保密,490393357,2,以一个小up的要求确实可以了，但是说实话吧，感觉没有把每一个人的特点描绘出来，虽然up可能不会料到自己这个视频会引来这么多的关注，这些关注和播放量会提高人们的期待，打开前一看，退出后一想，就会有些想法是肯定的，但up还是很棒了[给心心][给心心],3,1628506950
0,悲鸣叠音,男,356678055,4,不是画的不好，只是都画的一样。。。。不能把每个人特点画出来吗,3,1628502680
0,bili_302328021,保密,302328021,4,我有个问题，貌似写名字好像不能用红色…,3,1628487252
0,是菜菜酱啦,女,510600374,4,提醒一下up主，最好不要用红笔写名字哦！不过up画得超级好看的！[原神_哇][打call],3,1628443717
0,喂鱼执法,保密,95054219,5,天天盯着奖牌榜的日子突然就要结束了呜呜 不论今儿结果咋样咱儿都已经很棒了都是最棒的！,140,1628401916
0,技仙,保密,24109636,5,画的很不错，但特征可能不够鲜明，不写名字有相当部分是看不出谁是谁,13,1628428079
0,未来记者元宝本宝,女,613469881,2,感觉大家千篇一律，没把各自神韵画出来,555,1628429803
0,实验体九号,男,14940977,5,呜呜呜，我真的哭死…乒乓男团永远在C位，我割割这么优秀却总孤独的在角落上…好心疼呜呜呜[doge],37,1628427468
0,姬无病,保密,260540007,4,画的不错，可惜是抽象派,3,1628448847
0,忻木木子,保密,397730633,5,每个好似都不一样但每个都不像[笑哭][原神_嗯],7,1628431609
0,bw白黑,保密,452723728,4,对于人物比较统一这个问题，可能就是画风原因吧 。但我想说已经很棒了 ！,6,1628432155
0,白狼丶白狼丶,男,11440517,5,这一定要配上高质量的写生[doge]               ______           ◢■■■◤◣        ■◤￣￣￣   ◥◣       ◤   ===    ===   ■展开,4,1628442321
0,大写的哼,保密,85270782,4,这个热度蹭的，除了头发别一点特点没有基本，糊弄外行还行，学过点画画都骗不了,97,1628441698
0,小6同学吖,男,452439693,4,不能说是不像，可以说是毫无关系,118,1628439024
0,Darlliroten,保密,439389244,4,其实每个选手都很棒[OK],2,1628706022
0,--Gavin--,男,33507286,5,确实太像了，而且全是标准的日式漫画脸，基本没什么区分度，要是不写名字还真看不出来，别喷我，虽然B站的氛围是不允许批评的，但是不指出来就没法进步,2,1628729494
0,胖虎胖次胖虎胖,保密,595229194,3,不认同你的标题，无论是奥运货还是世锦赛等比赛，所有的冠军都值得尊敬。他们之间不存在比较。无论在这个国家积贫积弱的时候还是这个国家昌盛富强的时候，他们做出的贡献都是无可比拟的。收起网红的作风。认认真真的看这些比赛，心存敬意，过去现在和未来不必分割。,2,1628708153
0,就是漂漂啦,保密,1372153810,3,真的烦死了烦死了烦死了，到底为什么有瑕疵的地方不让指出来？？？？？？说出意见就成了恶臭？？？？？？？？一个作品有好的建议作者可能是开心的。作者那么包容希望改进，为什么有人非要这么狭隘？？？？？？？,2,1628834758
0,一米八的小郭,男,27566184,5,苏神[大哭]我的苏神[大哭]我要苏神[大哭],6,1628432655
0,m_three,男,21617952,5,有点东西，评论区有些朋友请问up画了你们是要付她钱吗，一个个语气跟别人是给你画的一样,2,1628908039
0,大大怪等我,保密,692024748,3,怕是少了个体操冠军,2,1628839870
0,真-滔滔无双,男,44327074,5,up画的不错，就是人设的脸部特征有待加强，我只会看不会画，但是我看上去就事脸都长的一样[藏狐],2,1628737320
0,Quellia,男,12957696,4,。。。。这这这，人up主画了一波你们就说蹭流量咋的画这个不花时间??up就没有用心吗，咋这么多杠精啊，你行你上啊，无语,2,1628518015
0,bear0123willian,保密,1703373937,2,评论咋回事…看的人糟心的很…这有什么好吵吗，脸确实是千篇一律，有改进的空间，问题人家一片心意给冠军们画的，是祝贺他们献给他们的画而不是在这里吵吵画风咋样，喜欢的该看的看，up主该改的改不就完了,2,1628659009
0,永夜剧作家冥冥,男,30035382,5,画的挺好，就是受日漫影响有点严重，脸都是同一张,2,1628658031
0,天野阳菜的男朋友,保密,500950301,4,...现在b站评论都是什么玩意，时代变了啊,2,1628591297
0,叵兄,保密,606162075,3,首先画的挺不错，其次这是画的啥玩意儿了，结果葫芦娃,2,1628588678
